Nom du lieu,Latitude,Longitude,Note d'intérêt,Note Google Maps,Résumé des avis Google Maps,Résumé rapide,Catégorie,Budget
Le Comptoir du Relais,48.852973,2.338214,5,4.5,"Cuisine française classique, service excellent.",Cuisine française authentique.,Bistrot,€€
Septime,48.854158,2.380448,5,4.7,"Cuisine inventive, ambiance intime.",Restaurant étoilé Michelin.,Restaurant gastronomique,€€€
L'As du Fallafel,48.857431,2.361896,4,4.6,Meilleurs falafels de Paris.,Sandwich falafel populaire.,Street Food,€
Le Mary Celeste,48.861436,2.365738,4,4.4,Cocktails créatifs et huîtres.,Bar à cocktails réputé.,Bar,€€
Café de Flore,48.854582,2.332451,5,4.3,Ambiance artistique et historique.,Café parisien classique.,Café,€€
Pierre Hermé,48.868766,2.307987,5,4.6,Macarons et pâtisseries raffinées.,Pâtisseries haut de gamme.,Pâtisserie,€€€
Loulou,48.854914,2.332789,4,4.2,Brunch sain et savoureux.,Café d'inspiration australienne.,Café,€€
Clamato,48.854158,2.380448,5,4.6,Fruits de mer frais et savoureux.,Fruits de mer exceptionnels.,Restaurant de fruits de mer,€€€
La Coupole,48.842388,2.325703,5,4.4,Brasserie historique avec une belle ambiance.,Brasserie mythique des années 1920.,Brasserie,€€
Le Bristol Paris - Epicure,48.871457,2.314292,5,4.8,Expérience gastronomique de luxe.,Restaurant étoilé dans un cadre luxueux.,Restaurant gastronomique,€€€€
