"Nom du lieu","Latitude","Longitude","Note d'intérêt","Note Google Maps","Résumé des avis Google Maps","Résumé rapide","Catégorie","Budget"
"Avenue des Champs-Élysées","48.8698","2.3070","5","4.6","Les visiteurs apprécient l'architecture majestueuse, les boutiques de luxe et l'ambiance animée de cette avenue emblématique.","Avenue célèbre reliant l'Arc de Triomphe à la Place de la Concorde, bordée de boutiques et de cafés renommés.","Avenue, Shopping, Tourisme","Tous budgets"
"Rue de Rivoli","48.8566","2.3522","5","4.5","Appréciée pour ses arcades élégantes, sa proximité avec le Louvre et ses nombreuses boutiques.","Rue traversant le cœur de Paris, longeant des sites historiques.","Shopping, Culture","Moyen"
"Boulevard Saint-Germain","48.8546","2.3330","5","4.5","Célèbre pour ses cafés historiques fréquentés par des intellectuels et artistes, et son ambiance sophistiquée.","Boulevard historique du Quartier Latin avec de nombreux cafés et boutiques.","Cafés, Culture, Promenade","Moyen"
"Rue du Faubourg Saint-Honoré","48.8707","2.3145","5","4.5","Renommée pour ses maisons de haute couture, galeries d'art et proximité avec l'Élysée.","Rue prestigieuse idéale pour le shopping de luxe.","Shopping de luxe, Art","Élevé"
"Boulevard Haussmann","48.8747","2.3272","4.5","4.4","Les visiteurs apprécient les grands magasins emblématiques et l'architecture haussmannienne.","Boulevard commerçant avec les Galeries Lafayette et le Printemps.","Shopping, Architecture","Moyen à élevé"
"Rue Montorgueil","48.8640","2.3488","4.5","4.6","Atmosphère animée avec des marchés alimentaires, boulangeries traditionnelles et cafés pittoresques.","Rue piétonne reflétant le Paris authentique.","Gastronomie, Marchés","Abordable"
"Rue Mouffetard","48.8419","2.3499","4.5","4.5","Appréciée pour son ambiance villageoise, ses marchés et ses nombreux restaurants.","Une des plus anciennes rues de Paris avec une atmosphère conviviale.","Historique, Gastronomie","Abordable"
"Rue des Rosiers","48.8555","2.3610","4.5","4.6","Célèbre pour ses boutiques traditionnelles, pâtisseries et spécialités culinaires juives.","Rue au cœur du Marais avec une riche histoire culturelle.","Culture, Gastronomie","Abordable"
"Rue Oberkampf","48.8655","2.3782","4","4.4","Connu pour sa vie nocturne animée, ses bars branchés et salles de concert.","Rue dynamique idéale pour profiter de la vie nocturne parisienne.","Vie nocturne, Musique","Abordable à moyen"
"Rue Crémieux","48.8470","2.3718","4","4.5","Les visiteurs adorent les façades colorées et le charme pittoresque pour les photos.","Petite rue piétonne aux maisons colorées, prisée des photographes.","Photographie, Promenade","Gratuit"
"Rue Saint-Honoré","48.8626","2.3365","5","4.5","Appréciée pour ses boutiques de mode, ses parfumeries et son ambiance élégante.","Rue historique avec des boutiques de luxe et des marques de créateurs.","Shopping de luxe, Mode","Élevé"
"Avenue Montaigne","48.8660","2.3048","5","4.6","Réputée pour ses maisons de haute couture et son atmosphère chic.","Avenue prestigieuse abritant les plus grandes marques de mode.","Shopping de luxe, Mode","Très élevé"
"Rue de la Paix","48.8675","2.3302","5","4.5","Célèbre pour ses bijoutiers et horlogers de luxe, et son architecture élégante.","Rue luxueuse connue pour ses joailliers haut de gamme.","Shopping de luxe, Joaillerie","Très élevé"
"Boulevard de Clichy","48.8841","2.3320","4.5","4.3","Connu pour le Moulin Rouge et sa vie nocturne animée.","Boulevard emblématique du quartier de Pigalle avec des cabarets célèbres.","Spectacles, Vie nocturne","Moyen à élevé"
"Rue de la Huchette","48.8525","2.3468","4","4.2","Appréciée pour ses restaurants, bars et son ambiance animée dans le Quartier Latin.","Petite rue piétonne connue pour sa vie nocturne et ses établissements pittoresques.","Gastronomie, Vie nocturne","Abordable"
"Avenue de l'Opéra","48.8662","2.3320","4.5","4.4","Appréciée pour son architecture haussmannienne et sa proximité avec l'Opéra Garnier.","Avenue majestueuse menant à l'Opéra Garnier avec de nombreuses boutiques.","Architecture, Shopping","Moyen"
"Rue Lepic","48.8855","2.3355","4.5","4.5","Connue pour le Café des Deux Moulins du film 'Amélie Poulain' et le Moulin de la Galette.","Rue charmante de Montmartre avec des cafés et des marchés locaux.","Culture, Gastronomie","Abordable"
"Rue Cler","48.8563","2.3065","4.5","4.6","Appréciée pour son marché en plein air et son ambiance de village.","Rue piétonne avec des étals de marché, des fromageries et des cafés.","Marchés, Gastronomie","Abordable"
"Boulevard de Sébastopol","48.8631","2.3508","4","4.2","Grande artère animée reliant le nord et le sud de Paris, avec de nombreux commerces.","Boulevard dynamique avec une variété de magasins et de restaurants.","Shopping, Transport","Abordable"
"Rue de Lappe","48.8543","2.3701","4","4.3","Célèbre pour ses bars, clubs et son ambiance festive dans le quartier de la Bastille.","Rue animée idéale pour la vie nocturne et les sorties entre amis.","Vie nocturne, Musique","Abordable"
"Rue de Passy","48.8579","2.2789","4.5","4.4","Appréciée pour ses boutiques élégantes et son atmosphère résidentielle chic.","Rue commerçante dans le 16ème arrondissement avec de nombreuses enseignes.","Shopping, Promenade","Moyen à élevé"
